0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
354.5,70.8999
351.471,127.014
348.974,171.406
346.066,206.338
340.964,233.263
332.109,253.032
323.272,267.08
316.678,277
312.258,284.051
311.299,289.501
312.473,286.482
313.019,284.242
313.986,282.697
317.335,282.193
-3.19761,217.793
0.861298,167.274
3.5441,127.586
4.74732,96.2177
6.49627,71.5677
8.61467,52.292
10.0407,37.1314
10.8588,25.1549
11.4401,15.6691
11.326,7.98577
9.24144,8.30557
7.54605,8.13517
4.85562,7.40315
3.10776,6.44213
1.51773,5.31774
0.731301,4.21545
-1.48082,2.86058
-2.54938,1.54539
-4.31917,0.126809
-6.74296,-1.49037
-8.39621,-3.07
-9.49664,-4.51737
-9.82508,-5.68319
-8.70123,-6.35354
-6.91515,-6.49845
-5.73405,-6.36128
-4.41209,-5.93964
-1.68865,-5.03469
0.870557,-3.76089
3.3643,-2.19105
9.57995,0.343459
14.346,3.3479
16.4882,6.18695
16.364,8.40921
17.0586,10.2876
17.4734,11.8479
16.5589,12.8848
15.7853,13.5012
13.3648,13.4552
10.6682,12.8256
8.40303,11.7353
7.65556,10.6113
7.78318,9.69159
6.51923,8.7057
4.96623,7.59148
4.07982,6.51391
4.10905,5.67734
3.78031,4.95895
3.66837,4.41382
3.83986,4.06993
4.06918,3.88933
4.17874,3.78281
3.87807,3.63472
4.20157,3.60809
4.18444,3.61671
4.05921,3.6176
2.93123,3.39208
1.91851,3.01619
0.71299,2.47677
-0.1206,1.87484
-0.71568,1.26935
-1.47287,0.631166
-1.67293,0.0870669
-2.40158,-0.500891
-4.20337,-1.33125
-6.2084,-2.39385
-8.5386,-3.68575
-9.68614,-4.92703
-9.36146,-5.82922
-9.37246,-6.53528
-8.17024,-6.8469
-6.80504,-6.8069
-6.60312,-6.73022
-6.55173,-6.64295
-5.56471,-6.33703
-5.65658,-6.06762
-5.3504,-5.74081
-4.98176,-5.38099
-4.60192,-5.02414
-3.2811,-4.47426
-2.60607,-3.92517
-2.09187,-3.41237
-4.10467,-3.40903
-7.17955,-4.02244
-8.7386,-4.84617
-8.70126,-5.49571
-7.74745,-5.83116
-7.84021,-6.12599
-7.01985,-6.20593
-7.4419,-6.38267
-8.30516,-6.7112
-8.76557,-7.07715
-12.5421,-8.08199
-19.1009,-10.1316
-21.4077,-12.1991
-22.3586,-14.0442
-23.2364,-15.7163
-22.7389,-16.9524
-21.7929,-17.7698
-21.2351,-18.303
-19.0754,-18.2791
-16.6007,-17.7552
-14.2621,-16.7872
-10.8067,-15.181
-7.48036,-13.1811
-2.39742,-10.5442
1.88979,-7.55843
2.48283,-5.06186
3.10074,-2.96134
